Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1000,80.43478260869566,2.552993059158325
W2_XL_input_clean_1001,84.78260869565217,2.522686004638672
W2_XL_input_clean_1002,82.6086956521739,2.432093858718872
W2_XL_input_clean_1003,80.43478260869566,2.4499990940093994
W2_XL_input_clean_1004,80.43478260869566,2.535386800765991
W2_XL_input_clean_1005,76.08695652173914,2.496428966522217
W2_XL_input_clean_1006,73.91304347826086,2.5339109897613525
W2_XL_input_clean_1007,78.26086956521739,2.56001615524292
W2_XL_input_clean_1008,76.08695652173914,2.6085500717163086
W2_XL_input_clean_1009,80.43478260869566,2.67633318901062
W2_XL_input_clean_1010,76.08695652173914,2.5037269592285156
W2_XL_input_clean_1011,78.26086956521739,2.5495476722717285
W2_XL_input_clean_1012,78.26086956521739,2.5615720748901367
W2_XL_input_clean_1013,78.26086956521739,2.698699951171875
W2_XL_input_clean_1014,80.43478260869566,2.524405002593994
W2_XL_input_clean_1015,80.43478260869566,2.493835926055908
W2_XL_input_clean_1016,78.26086956521739,2.6147420406341553
W2_XL_input_clean_1017,86.95652173913044,2.6518101692199707
W2_XL_input_clean_1018,76.08695652173914,2.521867036819458
W2_XL_input_clean_1019,84.78260869565217,2.44472599029541
W2_XL_input_clean_1020,69.56521739130434,2.5780959129333496
W2_XL_input_clean_1021,82.6086956521739,2.6663849353790283
W2_XL_input_clean_1022,82.6086956521739,2.6391618251800537
W2_XL_input_clean_1023,80.43478260869566,2.506639003753662
W2_XL_input_clean_1024,80.43478260869566,2.542896032333374
W2_XL_input_clean_1025,80.43478260869566,2.527683734893799
W2_XL_input_clean_1026,80.43478260869566,2.6007320880889893
W2_XL_input_clean_1027,80.43478260869566,2.5762979984283447
W2_XL_input_clean_1028,76.08695652173914,2.6438448429107666
W2_XL_input_clean_1029,76.08695652173914,2.5968117713928223
W2_XL_input_clean_1030,78.26086956521739,2.6167519092559814
W2_XL_input_clean_1031,89.13043478260869,2.5494298934936523
W2_XL_input_clean_1032,76.08695652173914,2.5466701984405518
W2_XL_input_clean_1033,82.6086956521739,2.556464910507202
W2_XL_input_clean_1034,82.6086956521739,2.577785015106201
W2_XL_input_clean_1035,80.43478260869566,2.4509167671203613
W2_XL_input_clean_1036,86.95652173913044,2.5255532264709473
W2_XL_input_clean_1037,82.6086956521739,2.6852641105651855
W2_XL_input_clean_1038,89.13043478260869,2.6881096363067627
W2_XL_input_clean_1039,86.95652173913044,2.638962984085083
W2_XL_input_clean_1040,76.08695652173914,2.640698194503784
W2_XL_input_clean_1041,73.91304347826086,2.5215117931365967
W2_XL_input_clean_1042,76.08695652173914,2.449753999710083
W2_XL_input_clean_1043,82.6086956521739,2.492060899734497
W2_XL_input_clean_1044,80.43478260869566,2.711273193359375
W2_XL_input_clean_1045,73.91304347826086,2.629350185394287
W2_XL_input_clean_1046,84.78260869565217,2.5791821479797363
W2_XL_input_clean_1047,73.91304347826086,2.5141890048980713
W2_XL_input_clean_1048,73.91304347826086,2.570416212081909
W2_XL_input_clean_1049,73.91304347826086,2.612152099609375
W2_XL_input_clean_1050,82.6086956521739,2.617440938949585
W2_XL_input_clean_1051,84.78260869565217,2.570192813873291
W2_XL_input_clean_1052,78.26086956521739,2.537015199661255
W2_XL_input_clean_1053,86.95652173913044,2.768968105316162
W2_XL_input_clean_1054,84.78260869565217,2.490525960922241
W2_XL_input_clean_1055,80.43478260869566,2.44022798538208
W2_XL_input_clean_1056,84.78260869565217,2.4969589710235596
W2_XL_input_clean_1057,73.91304347826086,2.8379859924316406
W2_XL_input_clean_1058,80.43478260869566,2.7502970695495605
W2_XL_input_clean_1059,78.26086956521739,2.6414661407470703
W2_XL_input_clean_1060,86.95652173913044,2.611396312713623
W2_XL_input_clean_1061,80.43478260869566,2.748990297317505
W2_XL_input_clean_1062,69.56521739130434,2.6042139530181885
W2_XL_input_clean_1063,78.26086956521739,2.548053026199341
W2_XL_input_clean_1064,76.08695652173914,2.6074342727661133
W2_XL_input_clean_1065,80.43478260869566,2.719777822494507
W2_XL_input_clean_1066,78.26086956521739,2.6180481910705566
W2_XL_input_clean_1067,80.43478260869566,2.5741641521453857
